,country,cases,deaths,notes,links
0,China,31207,637,0,https://bnonews.com/index.php/2020/02/the-latest-coronavirus-cases/
1,Hong Kong,25,1,0,https://news.rthk.hk/rthk/en/component/k2/1507278-20200207.htm
2,Taiwan,16,0,1 recovered,https://www.cna.com.tw/news/firstnews/202002065014.aspx
3,Macau,10,0,0,https://news.gov.mo/detail/zh-hant/N20BDPAzBd?3
4,Japan,86,0,4 recovered,https://www.mhlw.go.jp/stf/newpage_09340.html
5,Singapore,33,0,"2 critical, 2 recovered",https://www.moh.gov.sg/news-highlights/details/three-more-confirmed-cases-of-novel-coronavirus-infection-in-singapore
6,Thailand,25,0,"1 serious, 9 recovered",https://www.bangkokpost.com/thailand/general/1851149/first-local-virus-patient-cured
7,South Korea,24,0,1 recovered,https://www.yna.co.kr/view/AKR20200207031851004?section=society/all
8,Australia,15,0,5 recovered,https://www.health.gov.au/news/coronavirus-update-at-a-glance
9,Malaysia,15,0,"14 stable, 1 recovered",https://twitter.com/KKMPutrajaya/status/1225690059434627072
10,Germany,13,0,0,https://www.stmgp.bayern.de/presse/aktuelle-informationen-zur-coronavirus-lage-in-bayern-bayerisches-gesundheitsministerium-13/
11,United States,12,0,1 recovered,https://wtmj.com/news/2020/02/05/first-wisconsin-coronavirus-case-confirmed/
12,Vietnam,12,0,3 recovered,https://vietnamnet.vn/vn/suc-khoe/suc-khoe-24h/viet-nam-them-2-ca-duong-tinh-virus-corona-deu-la-nguoi-than-nu-cong-nhan-ve-tu-vu-han-613719.html
13,Canada,7,0,0,https://news.gov.bc.ca/releases/2020HLTH0025-000236
14,France,6,0,1 serious,https://www.francetvinfo.fr/sante/maladie/coronavirus/coronavirus-2019-ncov-les-six-cas-confirmes-en-france-sont-dans-un-etat-stable-selon-le-directeur-general-de-la-sante_3811051.html
15,UAE,5,0,Stable,https://www.wam.ae/en/details/1395302820367
16,United Kingdom,3,0,0,https://www.gov.uk/government/news/cmo-confirms-third-case-of-coronavirus-in-england
17,Philippines,3,1,0,https://www.youtube.com/watch?v=_pIluXrMHCk
18,India,3,0,Stable,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1601681
19,Italy,3,0,2 serious,https://www.ansa.it/canale_saluteebenessere/notizie/sanita/2020/02/03/coronavirus-accertamenti-su-italiano-alla-cecchignola-_b20da9f2-57a5-4870-978f-23e9c50d6155.html
20,Russia,2,0,0,https://tass.ru/obschestvo/7656549
21,Nepal,1,0,0,https://kathmandupost.com/2/2020/01/24/officials-confirm-novel-coronavirus-in-nepali-man-who-returned-from-wuhan-earlier-this-month
22,Cambodia,1,0,1 recovered,https://twitter.com/VOD_English/status/1221769368180121603
23,Sri Lanka,1,0,1 recovered,https://www.reuters.com/article/us-health-china-sri-lanka/sri-lanka-confirms-first-case-of-coronavirus-health-official-idUSKBN1ZQ1WF
24,Finland,1,0,1 recovered,https://yle.fi/uutiset/osasto/news/finlands_first_coronavirus_patient_released_from_hospital_symptom-free/11193661
25,Sweden,1,0,0,https://www.folkhalsomyndigheten.se/nyheter-och-press/nyhetsarkiv/2020/januari/bekraftat-fall-av-nytt-coronavirus-i-sverige/
