MAINLAND CHINA,Cases,Deaths,Notes,Links
Hubei province (including Wuhan),"22,112",619,"3,161 serious, 841 critical",http://wjw.hubei.gov.cn/fbjd/dtyw/202002/t20200207_2020605.shtml
Zhejiang province,954,0,"51 serious, 15 critical",https://www.zjwjw.gov.cn/art/2020/2/6/art_1202101_41881119.html
Guangdong province,970,0,"84 serious, 32 critical",http://wsjkw.gd.gov.cn/zwyw_yqxx/content/post_2885363.html
Henan province,851,2,"38 serious, 24 critical",https://m.weibo.cn/status/4468885493786791
Hunan province,711,0,61 serious,http://wjw.hunan.gov.cn/wjw/xxgk/gzdt/zyxw_1/202002/t20200206_11171582.html
Anhui province,591,0,6 critical,http://wjw.ah.gov.cn/news_details_54599.html
Jiangxi province,600,0,53 serious ,http://hc.jiangxi.gov.cn/doc/2020/02/06/138208.shtml
Chongqing,400,2,"32 serious, 11 critical",http://wsjkw.cq.gov.cn/tzgg/20200206/252355.html
Jiangsu province,373,0,3 serious,https://m.weibo.cn/status/4468889100612835
Sichuan province,322*,1,18 critical,https://m.weibo.cn/detail/4468886642966555
Shandong province,347,0,"24 serious, 7 critical",https://m.weibo.cn/detail/4468984080203682
Beijing,274,1,1+ critical,http://wjw.beijing.gov.cn/xwzx_20031/wnxw/202002/t20200206_1625583.html
Shanghai,257,1,"8 serious, 8 critical",https://m.weibo.cn/status/4468971530985983
Fujian province,215,0,"12 serious, 8 critical",https://mp.weixin.qq.com/s?__biz=MzA5MTM0NjAxNg==&mid=2650269241&idx=1&sn=9d36727af09b49bb2c9163dddca4634b&chksm=887e8336bf090a20eb7564a930bcbf83dfcdd4c012244508a37198c221d329c51095fe9ea61c&token=1602347766&lang=zh_CN#rd&url=http%3A%2F%2Fmp.weixin.qq.com%2Fs%3F__biz%3DMzA5MTM0NjAxNg%3D%3D%26mid%3D2650269241%26idx%3D1%26sn%3D9d36727af09b49bb2c9163dddca4634b%26chksm%3D887e8336bf090a20eb7564a930bcbf83dfcdd4c012244508a37198c221d329c51095fe9ea61c%26token%3D1602347766%26lang%3Dzh_CN%23rd&share_menu=1&sinainternalbrowser=topnav&mid=4468932695565279&luicode=10000011&lfid=100103type%3D1%26q%3D%E7%A6%8F%E5%BB%BA%E6%96%B0%E5%A2%9E%E6%96%B0%E5%9E%8B%E8%82%BA%E7%82%8E%E7%A1%AE%E8%AF%8A%E7%97%85%E4%BE%8B10%E4%BE%8B+%E7%B4%AF%E8%AE%A1%E7%A1%AE%E8%AF%8A215%E4%BE%8B&u=http%3A%2F%2Fmp.weixin.qq.com%2Fs%3F__biz%3DMzA5MTM0NjAxNg%3D%3D%26mid%3D2650269241%26idx%3D1%26sn%3D9d36727af09b49bb2c9163dddca4634b%26chksm%3D887e8336bf090a20eb7564a930bcbf83dfcdd4c012244508a37198c221d329c51095fe9ea61c%26token%3D1602347766%26lang%3Dzh_CN%23rd
Shaanxi province,173,0,1+ serious,http://sxwjw.shaanxi.gov.cn/art/2020/2/6/art_9_67788.html
Guangxi Region,168,0,"12 serious, 3 critical",http://wsjkw.gxzf.gov.cn/zhuantiqu/ncov/ncovyqtb/2020/0206/68435.html
Yunnan province,133,0,"16 serious, 2 critical",https://m.weibo.cn/status/4469022416518876
Hebei province,157,1,13 serious,http://www.hebwst.gov.cn/index.do?id=397080&templet=content&cid=14
Heilongjiang province,227,3,24 serious,http://wsjkw.hlj.gov.cn/index.php/Home/Zwgk/show/newsid/7760/navid/42/stypeid/
Liaoning province,94,0,"7 serious, 1 critical",https://m.weibo.cn/status/4469085037161884
Hainan province,106,1,14 serious,https://m.weibo.cn/detail/4468015657466283
Shanxi province,90,0,"7 serious, 4 critical",http://wjw.shanxi.gov.cn/wjywl02/24724.hrh
Tianjin,78,1,"19 serious, 4 critical",https://m.weibo.cn/detail/4468969622944171
Gansu province,62,0,7 serious,http://wsjk.gansu.gov.cn/single/10910/83733.html
Guizhou province,71,1,"8 serious, 6 critical",https://m.weibo.cn/detail/4469017475439252
Ningxia Region,40,0,3 serious,http://wsjkw.nx.gov.cn/info/1140/13560.htm
Inner Mongolia,46,0,,http://wjw.nmg.gov.cn/doc/2020/02/06/290804.shtml
Jilin province,59,0,"3 serious, 2 critical",https://m.weibo.cn/status/4468878903912656
Xinjiang,36,0,"8 serious, 1 critical",http://www.xjhfpc.gov.cn/info/1495/18082.htm
Qinghai province,18,0,1 serious,https://m.weibo.cn/status/4468903075418422
Tibet,1,0,Stable,http://www.nhc.gov.cn/yjb/s7860/202001/e71bd2e7a0824ca69f87bbf1bef2a3c9.shtml
TOTAL,"30,536",633,"3,859 serious1,153 recovered24,702 suspected",
REGIONS,Cases,Deaths,Notes,Links
Hong Kong,24,1,,https://www.chp.gov.hk/files/pdf/enhanced_sur_pneumonia_wuhan_eng.pdf
Taiwan,16,0,1 recovered,https://www.cna.com.tw/news/firstnews/202002065014.aspx
Macau,10,0,,https://news.gov.mo/detail/zh-hant/N20BDPAzBd?3
TOTAL,50,1,0 serious,
INTERNATIONAL,Cases,Deaths,Notes,Links
Japan,45*,0,,https://www.mhlw.go.jp/stf/newpage_09340.html
Thailand,25,0,"1 serious, 9 recovered",https://www.bangkokpost.com/thailand/general/1851149/first-local-virus-patient-cured
Singapore,30,0,"1 critical, 1 recovered",https://www.moh.gov.sg/news-highlights/details/four-more-confirmed-cases-of-novel-coronavirus-infection-in-singapore
South Korea,23,0,1 recovered,https://www.yna.co.kr/view/AKR20200205106500017
Australia,15,0,3 recovered,https://www.health.qld.gov.au/news-events/doh-media-releases/releases/queensland-coronavirus-update5
Germany,13,0,,https://www.stmgp.bayern.de/presse/aktuelle-informationen-zur-coronavirus-lage-in-bayern-bayerisches-gesundheitsministerium-13/
Malaysia,14,0,"13 stable, 1 recovered",https://twitter.com/KKMPutrajaya/status/1225324556979560448
United States,12,0,1 recovered,https://wtmj.com/news/2020/02/05/first-wisconsin-coronavirus-case-confirmed/
Vietnam,12,0,3 recovered,https://vietnamnet.vn/vn/suc-khoe/suc-khoe-24h/viet-nam-them-2-ca-duong-tinh-virus-corona-deu-la-nguoi-than-nu-cong-nhan-ve-tu-vu-han-613719.html
France,6,0,1 serious,https://www.francetvinfo.fr/sante/maladie/coronavirus/coronavirus-2019-ncov-les-six-cas-confirmes-en-france-sont-dans-un-etat-stable-selon-le-directeur-general-de-la-sante_3811051.html
UAE,5,0,Stable,https://www.wam.ae/en/details/1395302820367
Canada,5,0,,https://www.cbc.ca/news/canada/british-columbia/2nd-case-of-coronavirus-confirmed-in-b-c-1.5451915
United Kingdom,3,0,,https://www.gov.uk/government/news/cmo-confirms-third-case-of-coronavirus-in-england
Russia,2,0,,https://tass.ru/obschestvo/7656549
Philippines,3,1,,https://www.youtube.com/watch?v=_pIluXrMHCk
India,3,0,Stable,https://www.pib.gov.in/PressReleseDetail.aspx?PRID=1601681
Italy,2,0,2 serious,http://www.rainews.it/dl/rainews/articoli/Conte-due-casi-di-coronavirus-accertati-in-Italia-60b4294a-3a3f-4b05-ad1f-b096d1c60110.html
Nepal,1,0,,https://kathmandupost.com/2/2020/01/24/officials-confirm-novel-coronavirus-in-nepali-man-who-returned-from-wuhan-earlier-this-month
Cambodia,1,0,1 recovered,https://twitter.com/VOD_English/status/1221769368180121603
Sri Lanka,1,0,1 recovered,https://www.reuters.com/article/us-health-china-sri-lanka/sri-lanka-confirms-first-case-of-coronavirus-health-official-idUSKBN1ZQ1WF
